Регионы,кошки: (02.10.2021 – 02.10.2022)
Курганская область,100
Ивановская область,100
Архангельская область,99
Республика Марий Эл,98
республика Удмуртия,98
Самарская область,95
Республика Мордовия,95
Республика Алтай,93
Саратовская область,92
Тверская область,92
Кировская область,92
Костромская область,92
Республика Калмыкия,91
Оренбургская область,90
Смоленская область,90
Пензенская область,89
Тюменская область,89
Еврейская автономная область,89
Республика Бурятия,89
Пермский край,88
Республика Хакасия,88
Камчатский край,88
Республика Дагестан,88
Липецкая область,88
Чувашская Республика,88
Псковская область,87
Тамбовская область,87
Тульская область,86
Карачаево-Черкесская Республика,86
Забайкальский край,86
Калужская область,86
Ярославская область,86
Волгоградская область,86
Ленинградская область,86
Владимирская область,85
Ульяновская область,85
Рязанская область,85
Республика Карелия,84
Алтайский край,83
Воронежская область,83
Вологодская область,83
Республика Башкортостан,82
Астраханская область,82
Орловская область,82
Нижегородская область,82
Республика Коми,81
Мурманская область,81
Свердловская область,81
Республика Татарстан,81
Курская область,81
Омская область,81
Кемеровская область,80
Сахалинская область,80
Ханты-Мансийский автономный округ,79
Челябинская область,79
Краснодарский край,79
Республика Саха (Якутия),79
Брянская область,79
Ставропольский край,78
Новгородская область,78
город Санкт-Петербург,78
Чеченская Республика,78
Амурская область,78
Магаданская область,77
Московская область,77
Республика Ингушетия,77
Приморский край,77
Хабаровский край,77
Белгородская область,76
Томская область,75
Республика Адыгея,75
город Москва,74
Иркутская область,74
Кабардино-Балкарская Республика,74
Ямало-Ненецкий автономный округ,73
Ростовская область,72
Красноярский край,72
Республика Северная Осетия-Алания,71
Новосибирская область,71
Калининградская область,70
Ненецкий автономный округ,49
Республика Тува,49
Чукотский автономный округ,45
