Неделя,кошки
2021-10-03,78
2021-10-10,75
2021-10-17,72
2021-10-24,79
2021-10-31,99
2021-11-07,79
2021-11-14,77
2021-11-21,81
2021-11-28,75
2021-12-05,76
2021-12-12,76
2021-12-19,75
2021-12-26,78
2022-01-02,100
2022-01-09,86
2022-01-16,74
2022-01-23,81
2022-01-30,83
2022-02-06,80
2022-02-13,75
2022-02-20,71
2022-02-27,68
2022-03-06,73
2022-03-13,71
2022-03-20,79
2022-03-27,85
2022-04-03,75
2022-04-10,74
2022-04-17,73
2022-04-24,75
2022-05-01,75
2022-05-08,80
2022-05-15,74
2022-05-22,74
2022-05-29,71
2022-06-05,74
2022-06-12,74
2022-06-19,77
2022-06-26,78
2022-07-03,75
2022-07-10,83
2022-07-17,83
2022-07-24,81
2022-07-31,77
2022-08-07,87
2022-08-14,87
2022-08-21,89
2022-08-28,78
2022-09-04,80
2022-09-11,77
2022-09-18,72
2022-09-25,73
